direccion,Patron
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 4 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 5 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 6 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 7 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 8 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 9 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 10 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 11 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. DEPOSITO 40 TORRE A. SOTANO 1,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 101 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 102 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 103 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 201 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 202 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 203 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 301 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 302 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 303 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 401 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 402 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 403 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 501 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 502 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 503 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 601 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 602 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 603 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 701 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 702 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 703 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 801 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 802 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 803 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 901 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 902 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 903 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1001 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1002 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1003 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1101 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1102 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1103 TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1201  DOS NIVELES TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1202  DOS NIVELES TORRE A.,6
CALLE 10 - 118-155  PORTERIA PRINCIPAL  Y CALLE 10 121-05  CONJUNTO RESIDENCIAL UMBRIA GARDEN  P.H. APARTAMENTO 1203  DOS NIVELES TORRE A.,6
CARRERA 20  -41 - 17 APTO 101  EDIFICIO MULTIFAMILIAR ARROYO BARRIO SANTA FE,8
CARRERA 20  -GARAGE DEL APTO 101  EDIFICIO MULTIFAMILIAR ARROYO BARRIO SANTA FE,8
AVENIDA 6 NORTE 44-N-56,10
CARRERA 20  -41 - 19 APTO 201  EDIFICIO MULTIFAMILIAR ARROYO BARRIO SANTA FE,8
CARRERA 20  -41 - 19 APTO 301  EDIFICIO MULTIFAMILIAR ARROYO BARRIO SANTA FE,8
CARRERA 40A  -13 A - 24  EDIFICIO GONZALEZ  APARTAMENTO 101,8
CARRERA 40 A - BIS  -13 A - 26  EDIFICIO   GONZALEZ  APARTAMENTO 201,8
CALLE 72  - 26E - 09  PROGRAMA LLERAS RESTREPO,8
CARRERA 39E  -46A-34 APARTAMENTO 101 EDIFICIO ROSARIO,8
CARRERA 39E  -46A-36  APARTAMENTO 201 EDIFICIO ROSARIO,8
CALLE 14  -42 B -31 APTO 101 DEL EDIFICIO PAYAN P.H.  BARRIO EL GUABAL,8
CALLE 14  -42 B-33 APTO 201 DEL EDIFICIO PAYAN P.H.  BARRIO EL GUABAL,8
CALLE 56  12-76 URBANIZACION EL GUAVITO,8
SIN DIRECCION,8
LOTE DE TERRENO  -9 MANZANA 37 PROGRAMA POBLADO I,8
LOTE 5  -MANZANA 149  PROGRAMA PILAR II,8
CARRERA 19 A  -11 - 52,8
CARRERA 26 J-1  -116-157  URBANIZACION COMUNEROS IIIC HOY BARRIO MANUELA BELTRAN,8
CARRERA 72 N  -28-60  LOTE 24 MANZANA 19 URBANIZACION COMUNEROS II,8
LOTE DE TERRENO  -1  BARRIO OBRERO,8
LOTE DE TERRENO  -2  BARRIO OBRERO,8
CARRERA 77  -13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H.  APARTAMENTO 201 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 202 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 203 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 204 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 301 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 302 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 303 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 304 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 401 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 402 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 403 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 404 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 501 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 502 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 503 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 504 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 601 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 602 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 603 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 604 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 701 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 702 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 703 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 704 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 801 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 802 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 803 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 804 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 901 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 902 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 903 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 904 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1001 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1002 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1003 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1004 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1101 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1102 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1103 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1104 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1201 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1202 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1203 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1204 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1301 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1302 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1303 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1304 TORRE 1.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 101 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 102 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 103 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 104 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 201 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 202 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 203 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 204 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 301 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 302 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 303 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 304 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 401 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 402 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 403 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 404 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 501 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 502 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 503 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 504 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 601 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 602 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 603 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 604 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 701 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 702 TORRE 2.,3
CALLE 2A  25-16,8
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 703 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 704 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 801 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 802 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 803 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 804 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 901 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 902 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 903 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 904 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1001 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1002 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1003 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1004 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1101 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1102 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1103 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1104 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1201 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1202 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1203 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. APARTAMENTO 1204 TORRE 2.,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO P-1,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO P-2,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO P-4,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO P-5,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO P-9,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO P-10,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO P-11,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO P-12,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-1,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-2,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-3,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-4,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-5,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-6,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-7,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-8,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-9,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-10,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-11,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-12,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-13,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-14,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-15,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-16,3
CARRERA 77 13A1- 38   EDIFICIO PARQUE KRABI  PROPIEDAD H. PARQUEADERO SEMISOTANO S-17,3
